,PassengerId,0
0,892,0.06737016
1,893,0.20119075
2,894,0.0384926
3,895,0.12446411
4,896,0.38159925
5,897,0.17330113
6,898,0.66625345
7,899,0.11591724
8,900,0.73046523
9,901,0.15436263
10,902,0.1139008
11,903,0.2829712
12,904,0.96228534
13,905,0.041652836
14,906,0.94295436
15,907,0.9923543
16,908,0.09428518
17,909,0.23816241
18,910,0.35768324
19,911,0.31776652
20,912,0.24283014
21,913,0.19121075
22,914,0.9676403
23,915,0.5887342
24,916,0.92098916
25,917,0.06873714
26,918,0.97902566
27,919,0.2283648
28,920,0.32838088
29,921,0.19687107
30,922,0.059894644
31,923,0.12537126
32,924,0.3056051
33,925,0.31694466
34,926,0.5062957
35,927,0.25512916
36,928,0.33820266
37,929,0.39316213
38,930,0.13152134
39,931,0.13875768
40,932,0.1443872
41,933,0.44060582
42,934,0.085483946
43,935,0.9695453
44,936,0.948037
45,937,0.13068755
46,938,0.27157527
47,939,0.07679771
48,940,0.9149297
49,941,0.29536864
50,942,0.51543903
51,943,0.16912003
52,944,0.97501266
53,945,0.88580287
54,946,0.15360057
55,947,0.15828922
56,948,0.10048978
57,949,0.13054243
58,950,0.117805816
59,951,0.94835436
60,952,0.16008222
61,953,0.09201531
62,954,0.15604292
63,955,0.860814
64,956,0.564089
65,957,0.96801144
66,958,0.9160309
67,959,0.29977274
68,960,0.38089925
69,961,0.78778404
70,962,0.823517
71,963,0.1447578
72,964,0.34582558
73,965,0.43857002
74,966,0.9548014
75,967,0.51438653
76,968,0.113973126
77,969,0.9405734
78,970,0.09682142
79,971,0.823517
80,972,0.36310345
81,973,0.3735041
82,974,0.26135594
83,975,0.1139008
84,976,0.14598256
85,977,0.189433
86,978,0.7539238
87,979,0.4128511
88,980,0.65819514
89,981,0.6772063
90,982,0.37921688
91,983,0.113844134
92,984,0.9658412
93,985,0.113973126
94,986,0.5587099
95,987,0.13061936
96,988,0.8232798
97,989,0.11778246
98,990,0.40059897
99,991,0.10605138
100,992,0.9552589
101,993,0.11137358
102,994,0.07679771
103,995,0.12727539
104,996,0.7444992
105,997,0.12830004
106,998,0.10190429
107,999,0.07679771
108,1000,0.114284396
109,1001,0.15599191
110,1002,0.10914394
111,1003,0.6583277
112,1004,0.9668803
113,1005,0.9094572
114,1006,0.81637865
115,1007,0.26787204
116,1008,0.181434
117,1009,0.5089078
118,1010,0.46862188
119,1011,0.9681826
120,1012,0.9803561
121,1013,0.07679771
122,1014,0.966412
123,1015,0.120568246
124,1016,0.07679771
125,1017,0.40693513
126,1018,0.14106603
127,1019,0.7247176
128,1020,0.070040345
129,1021,0.13416362
130,1022,0.10889791
131,1023,0.2164693
132,1024,0.31421426
133,1025,0.181434
134,1026,0.08097249
135,1027,0.13405794
136,1028,0.20364507
137,1029,0.10761096
138,1030,0.38173142
139,1031,0.10350097
140,1032,0.40427127
141,1033,0.9342714
142,1034,0.46510407
143,1035,0.10849517
144,1036,0.31426135
145,1037,0.116486445
146,1038,0.4860831
147,1039,0.14120921
148,1040,0.44060582
149,1041,0.102934
150,1042,0.9773087
151,1043,0.18286927
152,1044,0.056270305
153,1045,0.30024058
154,1046,0.19313926
155,1047,0.13389394
156,1048,0.9091088
157,1049,0.3820211
158,1050,0.31426135
159,1051,0.3552361
160,1052,0.65811926
161,1053,0.3546997
162,1054,0.972377
163,1055,0.11348132
164,1056,0.07198088
165,1057,0.34348178
166,1058,0.27959725
167,1059,0.17303927
168,1060,0.97337204
169,1061,0.38652977
170,1062,0.113738716
171,1063,0.2006994
172,1064,0.14090748
173,1065,0.18221211
174,1066,0.09700046
175,1067,0.9760081
176,1068,0.9731165
177,1069,0.24429677
178,1070,0.9594471
179,1071,0.90115136
180,1072,0.09682142
181,1073,0.48593172
182,1074,0.9706872
183,1075,0.07679771
184,1076,0.9631531
185,1077,0.075053215
186,1078,0.9746473
187,1079,0.16017859
188,1080,0.2579166
189,1081,0.07397091
190,1082,0.09256472
191,1083,0.4381836
192,1084,0.1879014
193,1085,0.040464982
194,1086,0.5230938
195,1087,0.10596516
196,1088,0.6856503
197,1089,0.41326904
198,1090,0.11504598
199,1091,0.33811498
200,1092,0.6924553
201,1093,0.21996728
202,1094,0.48843303
203,1095,0.981246
204,1096,0.109190136
205,1097,0.3823803
206,1098,0.4970492
207,1099,0.11208467
208,1100,0.97055984
209,1101,0.13067214
210,1102,0.11559936
211,1103,0.113504685
212,1104,0.40081498
213,1105,0.51588285
214,1106,0.28636444
215,1107,0.33895108
216,1108,0.65878135
217,1109,0.4045787
218,1110,0.92289615
219,1111,0.113973126
220,1112,0.9906831
221,1113,0.14484653
222,1114,0.97541475
223,1115,0.14470027
224,1116,0.9392683
225,1117,0.6241608
226,1118,0.13750838
227,1119,0.65819514
228,1120,0.08935499
229,1121,0.08244653
230,1122,0.463849
231,1123,0.9733869
232,1124,0.1439542
233,1125,0.07685698
234,1126,0.38469023
235,1127,0.14844628
236,1128,0.20572597
237,1129,0.24485275
238,1130,0.97747403
239,1131,0.94099253
240,1132,0.9347675
241,1133,0.8985306
242,1134,0.48414052
243,1135,0.1138969
244,1136,0.121402234
245,1137,0.35674036
246,1138,0.9740017
247,1139,0.07698364
248,1140,0.9681826
249,1141,0.6246838
250,1142,0.9841809
251,1143,0.14848787
252,1144,0.5182756
253,1145,0.13485342
254,1146,0.108114414
255,1147,0.113738716
256,1148,0.07679771
257,1149,0.12096303
258,1150,0.9768987
259,1151,0.1446883
260,1152,0.10045843
261,1153,0.14473386
262,1154,0.9686835
263,1155,0.5159815
264,1156,0.15223415
265,1157,0.1139008
266,1158,0.3670731
267,1159,0.113738716
268,1160,0.33820266
269,1161,0.16056186
270,1162,0.33270606
271,1163,0.07679771
272,1164,0.97184426
273,1165,0.6924553
274,1166,0.182208
275,1167,0.9746104
276,1168,0.100897245
277,1169,0.078766696
278,1170,0.10054356
279,1171,0.11823185
280,1172,0.38082564
281,1173,0.2204907
282,1174,0.65819514
283,1175,0.7886789
284,1176,0.4969035
285,1177,0.09757431
286,1178,0.11359825
287,1179,0.48505
288,1180,0.18221211
289,1181,0.113973126
290,1182,0.49865514
291,1183,0.66319954
292,1184,0.18221211
293,1185,0.31273437
294,1186,0.09849891
295,1187,0.12733777
296,1188,0.99639267
297,1189,0.19687107
298,1190,0.4965245
299,1191,0.11774828
300,1192,0.10877396
301,1193,0.15310258
302,1194,0.070854604
303,1195,0.13449462
304,1196,0.65819514
305,1197,0.90066534
306,1198,0.40071735
307,1199,0.22236909
308,1200,0.31310347
309,1201,0.21641918
310,1202,0.15660219
311,1203,0.23159884
312,1204,0.1137504
313,1205,0.42702138
314,1206,0.9202296
315,1207,0.9260653
316,1208,0.35793558
317,1209,0.14169851
318,1210,0.12405531
319,1211,0.14018963
320,1212,0.12727539
321,1213,0.21267907
322,1214,0.10761096
323,1215,0.38097435
324,1216,0.89857817
325,1217,0.13709782
326,1218,0.9777559
327,1219,0.33904696
328,1220,0.105682336
329,1221,0.12768346
330,1222,0.8690406
331,1223,0.31684238
332,1224,0.182208
333,1225,0.7180758
334,1226,0.12407633
335,1227,0.44735655
336,1228,0.09179699
337,1229,0.13941015
338,1230,0.12034394
339,1231,0.18221211
340,1232,0.1591109
341,1233,0.1086858
342,1234,0.14616756
343,1235,0.8284701
344,1236,0.11703527
345,1237,0.42612508
346,1238,0.10761096
347,1239,0.47226855
348,1240,0.113656156
349,1241,0.967425
350,1242,0.9511741
351,1243,0.109190136
352,1244,0.36854446
353,1245,0.07447105
354,1246,0.508231
355,1247,0.25439268
356,1248,0.9274657
357,1249,0.11389303
358,1250,0.07679771
359,1251,0.32932502
360,1252,0.2065821
361,1253,0.99221146
362,1254,0.967425
363,1255,0.12446411
364,1256,0.9768599
365,1257,0.2579166
366,1258,0.18943714
367,1259,0.34197128
368,1260,0.95154226
369,1261,0.15804343
370,1262,0.12613568
371,1263,0.9663225
372,1264,0.22694303
373,1265,0.06630365
374,1266,0.9249476
375,1267,0.92887133
376,1268,0.38697574
377,1269,0.12613568
378,1270,0.25258005
379,1271,0.21596986
380,1272,0.07679771
381,1273,0.08764051
382,1274,0.32921323
383,1275,0.39444745
384,1276,0.096065655
385,1277,0.9654934
386,1278,0.13401525
387,1279,0.04620581
388,1280,0.10186232
389,1281,0.21926956
390,1282,0.47618043
391,1283,0.94379145
392,1284,0.18520129
393,1285,0.060299363
394,1286,0.12476355
395,1287,0.96952516
396,1288,0.09278489
397,1289,0.9439583
398,1290,0.14105433
399,1291,0.07507991
400,1292,0.93287337
401,1293,0.0811708
402,1294,0.9791318
403,1295,0.57759017
404,1296,0.28331357
405,1297,0.2654545
406,1298,0.11504598
407,1299,0.48139122
408,1300,0.6580626
409,1301,0.500491
410,1302,0.65819514
411,1303,0.9966538
412,1304,0.35194603
413,1305,0.113973126
414,1306,0.9571043
415,1307,0.0912337
416,1308,0.113973126
417,1309,0.19758143
